Dividend  Divisor Quotient Remainder
F669ADB8 B1EC029C 00000001 447DAB1C
3BECCB7B EDF903C4 00000000 3BECCB7B
8841C93D AD424A60 00000000 8841C93D
DE88A174 AF6248E5 00000001 2F26588F
8BC3F3BB 54DB4392 00000001 36E8B029
CE4140AF 4F09B316 00000002 302DDA83
392CC01F F5BAE236 00000000 392CC01F
00BFA59C 4F7F1A0D 00000000 00BFA59C
4A229844 775B4BB6 00000000 4A229844
E47BF7F3 D0E8B21A 00000001 139345D9
CEEE628D 476751A7 00000002 401FBF3F
F0157421 730332B5 00000002 0A0F0EB7
080BE339 B2A0BD37 00000000 080BE339
DA35788F 975605F8 00000001 42DF7297
2BC87023 29BB37D4 00000001 020D384F
D0CCA463 3E62195C 00000003 15A6584F
74F8FDFA BB5CB582 00000000 74F8FDFA
FDCE8F33 A1230377 00000001 5CAB8BBC
6106FFDB 8BE2A34C 00000000 6106FFDB
D1EAD7DC 6B9BCF14 00000001 664F08C8
15D5B5F3 80F9EDC9 00000000 15D5B5F3
794FF5BD 7EA6B0AB 00000000 794FF5BD
1DF2CED4 6782D322 00000000 1DF2CED4
70677DA4 84D2ECED 00000000 70677DA4
4C918911 94EAC8C4 00000000 4C918911
3E0D9C9A 5892C5C2 00000000 3E0D9C9A
B1116BBA 120880EF 00000009 0EC4E353
1C848386 96D849BA 00000000 1C848386
FC08CF38 A2ADA611 00000001 595B2927
10D6B38E A73B3BB7 00000000 10D6B38E
18F8D348 632D4FA1 00000000 18F8D348
0103BC93 069A9B21 00000000 0103BC93
513AF478 41DDCCBA 00000001 0F5D27BE
CBC31C9D 0A4A1D69 00000013 0842EDD2
43BC2BC0 6F604964 00000000 43BC2BC0
456A8397 878B47D8 00000000 456A8397
48E645A7 2190622E 00000002 05C5814B
CC3CCF49 F156B5ED 00000000 CC3CCF49
83F32D8D 983673CA 00000000 83F32D8D
2247C182 5F591B93 00000000 2247C182
1290CDDA 1302F32D 00000000 1290CDDA
524BAF3A 0838E897 0000000A 00129954
5FF140DD D225E545 00000000 5FF140DD
9223D710 04E16178 0000001D 049BCC78
10F81039 763A08FA 00000000 10F81039
441D80F8 396522E2 00000001 0AB85E16
8170371B 5BBA2D1D 00000001 25B609FE
8C8F14C4 D297321F 00000000 8C8F14C4
0AAA9BDB 5D68A744 00000000 0AAA9BDB
15D5D2CF 73770AB3 00000000 15D5D2CF
5179B860 8EB2D3EE 00000000 5179B860
B89455B6 179B136C 00000007 1356CDC2
B76019B3 7801EB17 00000001 3F5E2E9C
00B89A68 765EA7E7 00000000 00B89A68
01A31C4F A21183F1 00000000 01A31C4F
249978AC 26D8560D 00000000 249978AC
C7431420 D6281E8B 00000000 C7431420
E93F9AB2 299E1729 00000005 192926E5
770B330A 4CCAB915 00000001 2A4079F5
6BDE0977 F1D0BED6 00000000 6BDE0977
49D9ABB6 FDB2F9DB 00000000 49D9ABB6
977E7BB6 AA33B85B 00000000 977E7BB6
6DC715D6 0F2315AF 00000007 03D17E0D
00012385 28E2268A 00000000 00012385
291E5560 AC671FC9 00000000 291E5560
64A5940F 9AEC46FE 00000000 64A5940F
80982C8B 2D8951F4 00000002 258588A3
FBE13AE8 64553602 00000002 3336CEE4
73DA19F0 21D00EDA 00000003 0E69ED62
EFA541F4 0C03C92E 00000013 0B5D538A
CF38CA28 B7BEE196 00000001 1779E892
67E1A165 8318D520 00000000 67E1A165
C65D6BA7 DEBCAF9C 00000000 C65D6BA7
2ECA04A9 0C2A1105 00000003 0A4BD19A
1A15E0FE 10D494D2 00000001 09414C2C
4C20C084 25545B5E 00000002 017809C8
A4057531 F3A54EA3 00000000 A4057531
C7521601 B6DAEC89 00000001 10772978
CF3E37DE 2903AA3D 00000005 022BE4AD
8714291E 39C4D400 00000002 138A811E
9F346A1B CDE859B4 00000000 9F346A1B
9F6EF427 7D3FD414 00000001 222F2013
347722A2 2F459DEF 00000001 053184B3
F9C1AA8A D6D9285A 00000001 22E88230
2C3071B2 00E47A1E 00000031 007511F4
31A03FB5 8F0D9C4A 00000000 31A03FB5
E74B2473 0CBF3A55 00000012 01D90A79
7AFE36C0 27DC107A 00000003 036A0552
00E12239 825A9674 00000000 00E12239
F626A65A 1F637D9C 00000007 1A6E3716
A05243D0 B609DFEE 00000000 A05243D0
29267C25 6E9E6355 00000000 29267C25
6F18A580 9EB9B380 00000000 6F18A580
6557B3F3 E7E83D31 00000000 6557B3F3
9C75DCE9 79C7190A 00000001 22AEC3DF
AB4B8FD3 2CEC53FD 00000003 248693DC
EB2B7DE9 9A3CC3FA 00000001 50EEB9EF
3B2FB15A 988FA06A 00000000 3B2FB15A
27A944E2 11EB6A37 00000002 03D27074
37E5349B 3F91DCCD 00000000 37E5349B
E255CBA0 9FB583E9 00000001 42A047B7
205CD9DB 84E692B1 00000000 205CD9DB
1B5B2930 4F60EBAD 00000000 1B5B2930
728BC3F8 7C4C64F3 00000000 728BC3F8
97F6D34E 43E4255B 00000002 102E8898
4F56C5DF A6C32E59 00000000 4F56C5DF
013E618C D197BAB7 00000000 013E618C
83736720 2FFBF84B 00000002 237B768A
73EFCB32 C7CF13A9 00000000 73EFCB32
338824CE 92ABC727 00000000 338824CE
6BE3BFEE 400F30DC 00000001 2BD48F12
6FE03A6B FA55E97C 00000000 6FE03A6B
1469390D 16883E61 00000000 1469390D
EF2D56F2 D0E0B22E 00000001 1E4CA4C4
B962D5A6 790E4771 00000001 40548E35
A1EE76C0 BDABB26D 00000000 A1EE76C0
7AFC78C6 DFB96BA2 00000000 7AFC78C6
A8D14A73 3946AA7E 00000002 3643F577
64833CA8 A22FCFE7 00000000 64833CA8
76881E3E F22A91B4 00000000 76881E3E
8762AAD4 593A2EEF 00000001 2E287BE5
8218FAFF 1E51E84E 00000004 08D159C7
2984C1D7 2ED49944 00000000 2984C1D7
467E6FF7 97D3EB55 00000000 467E6FF7
064CFCAE A89EB457 00000000 064CFCAE
C3D8B28A C98DA7D6 00000000 C3D8B28A
0313BD8D 83B32646 00000000 0313BD8D
A0E5F923 AD7D0755 00000000 A0E5F923
BAF023F6 50B85D06 00000002 197F69EA
195BD79A 34C70BA0 00000000 195BD79A
B04D389E 87F991D6 00000001 2853A6C8
B35A10C4 3BA6C627 00000003 0065BE4F
438617EE 0FFB9B27 00000004 0397AB52
92728CD9 C0589286 00000000 92728CD9
E0539DA9 0DDC370A 00000010 02902D09
EB89BBC8 7DCA5F2C 00000001 6DBF5C9C
B18DF945 B77A848C 00000000 B18DF945
47B5E283 E31DA332 00000000 47B5E283
592E2AB2 25B09241 00000002 0DCD0630
4BC716C8 10E177F0 00000004 08413708
092EEA03 0829A67E 00000001 01054385
F6CF8DB7 48D68813 00000003 1C4BF57E
FEC8AE95 27D1F901 00000006 0FDCD88F
1F041541 96B61286 00000000 1F041541
B5DE1993 FCCD16DE 00000000 B5DE1993
FC49F8D3 EF10567F 00000001 0D39A254
808D9652 8FB88D7C 00000000 808D9652
4C673BF6 E48262CF 00000000 4C673BF6
FFB5EB36 CEB19451 00000001 310456E5
E8E7A1AF B7F81A06 00000001 30EF87A9
F247C17B 7FDF5A97 00000001 726866E4
440C299B F9FB43A3 00000000 440C299B
706BF341 4B3D865C 00000001 252E6CE5
1E5EC4B4 05103B49 00000005 050D9C47
78CC9BA2 8A005737 00000000 78CC9BA2
8744048E D70E97C0 00000000 8744048E
A04B7D75 B406FE0C 00000000 A04B7D75
7B4C6BB3 9F952D4D 00000000 7B4C6BB3
B621823D 72F6E9C3 00000001 432A987A
1B73A45A CEFBFE3D 00000000 1B73A45A
685ED892 316A00A0 00000002 058AD752
45B3EF31 FEB61CFF 00000000 45B3EF31
99762BB8 718048CF 00000001 27F5E2E9
3FD6724D 5A2DB966 00000000 3FD6724D
9C51261F 1E963437 00000005 0362210C
CC8EF42A 8EB03C3A 00000001 3DDEB7F0
FE41B51F 09659EF0 0000001B 0089F1CF
304380FB D303E8CC 00000000 304380FB
54C49129 C64C4BBF 00000000 54C49129
556A066B 1833AB8F 00000003 0CCF03BE
602886B3 7D7D7B3C 00000000 602886B3
ABE50391 F5EFF0D3 00000000 ABE50391
1C0B3EDE F8562732 00000000 1C0B3EDE
DE0BCC57 CD13052C 00000001 10F8C72B
E7029FF3 C97BB1FB 00000001 1D86EDF8
A49B3B81 0896BF42 00000013 016B099B
4134CB1D 63C7AA56 00000000 4134CB1D
77607037 612D023F 00000001 16336DF8
A6818ECA 699F6158 00000001 3CE22D72
03AD37E9 28BE47D0 00000000 03AD37E9
FF0574C0 217C64E3 00000007 149EB28B
146FFF47 6984BE70 00000000 146FFF47
6BA261C2 2C35AB84 00000002 13370ABA
E674B369 2F147131 00000004 2A22EEA5
BF047588 492C28CC 00000002 2CAC23F0
12598D5C B1F08A28 00000000 12598D5C
F076A2E3 18B2BE63 00000009 122DF168
C0BE09F6 90B08DF3 00000001 300D7C03
BE5001B2 E4BC3A1A 00000000 BE5001B2
DE8EBB9B 8E5A91B7 00000001 503429E4
83E8F758 7B5F314B 00000001 0889C60D
329D6E40 AAEECDB6 00000000 329D6E40
8F309F03 EF769E3B 00000000 8F309F03
C315BD83 011CDCD9 000000AF 005AC52C
BD4B13B5 EC12DD25 00000000 BD4B13B5
A2D821C6 8B7D0E7D 00000001 175B1349
F8770439 DB69114A 00000001 1D0DF2EF
33B94643 53C9F12A 00000000 33B94643
8DEFB899 2681866A 00000003 1A6B255B
E0F49FBB A64D7DCB 00000001 3AA721F0
F39BF7AE A0C5E9C4 00000001 52D60DEA
7F185CD9 6A7CE2D4 00000001 149B7A05
A83D6642 A323AEDC 00000001 0519B766
8C385FAB EFCAE832 00000000 8C385FAB
6484C6E1 FAC3CBC1 00000000 6484C6E1
9D2CE0A3 B21F4B14 00000000 9D2CE0A3
AD6D9A26 8A5ED735 00000001 230EC2F1
1CDDCEF0 5D48079D 00000000 1CDDCEF0
681A6C4C E598A83F 00000000 681A6C4C
3AAF9A1B A5C625A6 00000000 3AAF9A1B
E5EFE0B3 0680F1B4 00000023 024ED517
755D9AAD 1E377FE8 00000003 1AB71AF5
7D9C2853 EB738EC8 00000000 7D9C2853
DCC4C016 4AF118C2 00000002 46E28E92
65BDA505 AC0BA07B 00000000 65BDA505
BD42EB2D 7EA67879 00000001 3E9C72B4
A86CE10E 98AC0A73 00000001 0FC0D69B
97ECC4CA 1B6548C9 00000005 0EF258DD
65C3BEFD 779658E3 00000000 65C3BEFD
DC85957C 5ED40DB9 00000002 1EDD7A0A
59D7E3EA 76E6F5F2 00000000 59D7E3EA
CCD020B8 53C29EF6 00000002 254AE2CC
EC82496D 9D46808F 00000001 4F3BC8DE
2821910A 1224659F 00000002 03D8C5CC
A0FC5D9B 18803ABC 00000006 0DFAFD33
8F67E15B 3CBC9EF2 00000002 15EEA377
B4C050EC 523CB659 00000002 1046E43A
7D85109B D60D35F0 00000000 7D85109B
FE6277B8 A0CC0044 00000001 5D967774
FD33605F 2D02B19C 00000005 1C25E853
C3FC31F0 F86DF913 00000000 C3FC31F0
AF1705F6 20A02F77 00000005 0BF618A3
7B8C23A5 0C7C2D97 00000009 0B2E8956
510EE9A8 C7C71723 00000000 510EE9A8
7C4E7F46 2E2DA03D 00000002 1FF33ECC
044AFBB7 A7D37CBA 00000000 044AFBB7
FFCA3AFE 976F46F9 00000001 685AF405
9E99F901 234E902D 00000004 115FB84D
8379B173 2463B0E5 00000003 164E9EC4
BD8FE129 D611E186 00000000 BD8FE129
6BFA048A 239D78EB 00000003 012199C9
A31B579B 0F9CF1A3 0000000A 06F9E73D
661BC37A 6A8A2060 00000000 661BC37A
3E333DFF 33BC8E47 00000001 0A76AFB8
75CC8393 A5B11955 00000000 75CC8393
06B38271 1F99BC4A 00000000 06B38271
99F571ED 938D82D1 00000001 0667EF1C
6E92286D 0218EAEE 00000034 01827015
8D050AFB 1F9EA84B 00000004 0E8A69CF
5B43DA08 2349CA3B 00000002 14B04592
98DEE5B6 6B7D33FE 00000001 2D61B1B8
A592930F C3E8CB59 00000000 A592930F
20DC5175 9DC37014 00000000 20DC5175
E4CB0087 C57156B5 00000001 1F59A9D2
808A25A0 45615B03 00000001 3B28CA9D
EA68C106 5DCCAAF0 00000002 2ECF6B26
A9327ECB 35463748 00000003 095FD8F3
B4BE2C73 B5496C6E 00000000 B4BE2C73
1587C1FF 54F1242F 00000000 1587C1FF
BDC6C49B 437761D9 00000002 36D800E9
6C1E8924 9CEB302B 00000000 6C1E8924
961511FB 543B6D76 00000001 41D9A485
5D3C48A0 51C5B69A 00000001 0B769206
7A65B69C 9F8EDC07 00000000 7A65B69C
CA50F325 5FD1E9A5 00000002 0AAD1FDB
76BD8B64 2173F14A 00000003 1261B786
63721EA9 F041105F 00000000 63721EA9
B48D6C0C 874E776E 00000001 2D3EF49E
C3F0E8AC 0A4D372C 00000013 0035D068
3482791B 1FBB79DD 00000001 14C6FF3E
23C2D5C7 505D89D4 00000000 23C2D5C7
0F1FE190 BDC70B70 00000000 0F1FE190
5F37F2CB 58FB0266 00000001 063CF065
D817E2FB 69B27DDD 00000002 04B2E741
422DDA13 ABBA3B31 00000000 422DDA13
D6D5C1E0 48553655 00000002 462B5536
31158A5E CEB4AD32 00000000 31158A5E
DA837E27 70824B8B 00000001 6A01329C
70354909 2031AF84 00000003 0FA03A7D
94BD9B1C 7EB85F90 00000001 16053B8C
4D084C88 E5F49D55 00000000 4D084C88
2112EF6F 1B374B7E 00000001 05DBA3F1
20554AA8 D9AB105A 00000000 20554AA8
83086533 1A4E3CFB 00000004 19CF7147
4CB028B5 281A84F1 00000001 2495A3C4
47108EC1 A80AA474 00000000 47108EC1
1BE63F4F E0590032 00000000 1BE63F4F
747A995F 7903CD79 00000000 747A995F
2B5D13ED 610A7D19 00000000 2B5D13ED
CFD46E66 17F0DEC5 00000008 104D783E
01F2BC0F F0784623 00000000 01F2BC0F
C78686A3 7A0CB8F1 00000001 4D79CDB2
0624FADE 9FBF2A17 00000000 0624FADE
41F0A8A0 982BE673 00000000 41F0A8A0
056500D6 9BED60A4 00000000 056500D6
DBF64647 06C45893 00000020 036B33E7
B586AC4E 212553F6 00000005 0FCC0880
7D5B7D50 3317D094 00000002 172BDC28
1C3E02C9 306493E5 00000000 1C3E02C9
E5C7A01A CDCF9635 00000001 17F809E5
DA6053BE 7BD22F20 00000001 5E8E249E
B2EBD37E 44B03A2A 00000002 298B5F2A
8BBFD5FE F58F7BAC 00000000 8BBFD5FE
F8265A4A 30A6C19A 00000005 04E49248
9BD917DE E6637018 00000000 9BD917DE
401F5673 99D73A36 00000000 401F5673
7B4E6857 C9F5BFD6 00000000 7B4E6857
C7BCC465 A0ED894B 00000001 26CF3B1A
26369B72 50AE75C3 00000000 26369B72
2D6C7B2A D075CC06 00000000 2D6C7B2A
AE8BD8F7 E9C8407E 00000000 AE8BD8F7
0020E3A6 37B84D10 00000000 0020E3A6
4C286A3E A858BCB5 00000000 4C286A3E
059CC022 C99E4691 00000000 059CC022
313766DB E2DB7BB0 00000000 313766DB
D30F6AF9 879E409B 00000001 4B712A5E
3A7E162C C594B16C 00000000 3A7E162C
47C0DE03 53104489 00000000 47C0DE03
69676419 7843FF8A 00000000 69676419
1C82FCB5 83B1A8A2 00000000 1C82FCB5
DFBD59A4 A5F5F295 00000001 39C7670F
3C524A84 8B4BAB83 00000000 3C524A84
6C346003 DD189423 00000000 6C346003
3317319D EAA802D5 00000000 3317319D
0A696953 EFDC73A5 00000000 0A696953
068E04D3 EC9271BA 00000000 068E04D3
4481C592 E9D75D09 00000000 4481C592
7ACAFB3D C0517644 00000000 7ACAFB3D
8A40E35F 7467B050 00000001 15D9330F
75231AF1 D58B570E 00000000 75231AF1
E54EF2B0 590FC2E2 00000002 332F6CEC
4B0D64EE FDD5F635 00000000 4B0D64EE
420929AB 9A5D1A19 00000000 420929AB
3EA5A5EE 81978142 00000000 3EA5A5EE
A2A1DB52 9A3CA036 00000001 08653B1C
A6B831BC 0AC67307 0000000F 05177453
6CFEB9DF A8F6C444 00000000 6CFEB9DF
CF40A9BE 9BCD60CB 00000001 337348F3
49977ADC 12070406 00000004 017B6AC4
5103CEAB 879BB478 00000000 5103CEAB
B25CB2F9 FA2279A8 00000000 B25CB2F9
84C7F83A 117D6D3F 00000007 0A59FB81
B8502352 910FE018 00000001 2740433A
3BE60FF1 F96A2EE5 00000000 3BE60FF1
97A3194E 92321A9A 00000001 0570FEB4
01D34BE9 594B5B90 00000000 01D34BE9
310AC820 DC0F22F8 00000000 310AC820
38D86CA0 21DA0C5D 00000001 16FE6043
D4B2F7A3 6CEF1790 00000001 67C3E013
341E08A8 29D08E29 00000001 0A4D7A7F
FAAE5B5C F78C4A65 00000001 032210F7
E18837C8 01CDA5C9 0000007D 001E44A3
F556B940 B08183A6 00000001 44D5359A
5F66FCB2 E1CC459C 00000000 5F66FCB2
073DE34D 64579C8B 00000000 073DE34D
4867DEA4 A1177D64 00000000 4867DEA4
36774D8B 330CDD31 00000001 036A705A
95F64205 744572FC 00000001 21B0CF09
E0689BBF 17A4BAAF 00000009 0B9E0B98
1D12B3E7 3517EEE9 00000000 1D12B3E7
59D1F01F B3FC2D64 00000000 59D1F01F
5B46A655 B2B03C46 00000000 5B46A655
3E154F0C 82940A03 00000000 3E154F0C
B0DC6BDD 0B4D60AC 0000000F 0753C1C9
29C9ECE0 37870D18 00000000 29C9ECE0
1D98DF18 C0496F25 00000000 1D98DF18
EFD36694 7C37BE59 00000001 739BA83B
54461C95 EAB6A2AB 00000000 54461C95
906509C3 74F71772 00000001 1B6DF251
F7F09107 C5B6CD7F 00000001 3239C388
AFD5A6E7 AD81DADC 00000001 0253CC0B
6D3A8542 04B91D79 00000017 0098DF63
2F328CC2 26229ABF 00000001 090FF203
CF85F4CC EFDD9661 00000000 CF85F4CC
A2A2BE76 7584B75F 00000001 2D1E0717
A772AC50 2B51B1BD 00000003 257D9719
2F4CE95A 292AAECE 00000001 06223A8C
C133A45C 45D2F9A4 00000002 358DB114
666BD7BB 8DBCF5B6 00000000 666BD7BB
FD2E11A8 F0ABB19B 00000001 0C82600D
238DB1A0 68031681 00000000 238DB1A0
63041DB7 CF1A1F71 00000000 63041DB7
D8FF7119 B7F899B3 00000001 2106D766
41063530 83D574B6 00000000 41063530
DD4F528D 1F0C1115 00000007 03FADAFA
4ECEBA15 A2A56035 00000000 4ECEBA15
88F22635 8F65B647 00000000 88F22635
76957319 E5F7C35C 00000000 76957319
379701C7 A9A35C61 00000000 379701C7
62A1CBB9 0687DC7B 0000000F 00ABE084
2B1C219C 2F105606 00000000 2B1C219C
2A46FB23 D9D6D3F0 00000000 2A46FB23
A93E24FA 3BA8CEB6 00000002 31EC878E
C2604F71 661C91E6 00000001 5C43BD8B
C0F595E2 DDBEEF00 00000000 C0F595E2
6EABDA34 7E140F49 00000000 6EABDA34
5696A1ED 591B43D0 00000000 5696A1ED
70FE4A79 C8137D34 00000000 70FE4A79
FD38DE05 7F905232 00000001 7DA88BD3
91D9A017 54577EA3 00000001 3D822174
54304912 FA9AF508 00000000 54304912
F6340B7A 88D0D232 00000001 6D633948
E9CA6F72 9F929475 00000001 4A37DAFD
CA41559C C870C0F6 00000001 01D094A6
09E6CB41 3939D8BE 00000000 09E6CB41
82531E35 2B85A8C5 00000002 2B47CCAB
E0C191C5 1A67BC2B 00000008 0D83B06D
74ECF4B6 FFF113AE 00000000 74ECF4B6
6CD27AAD 2AB75867 00000002 1763C9DF
AE8F1116 97EB5B2F 00000001 16A3B5E7
86185D46 80968B28 00000001 0581D21E
FEBEB174 38B2E0D3 00000004 1BF32E28
FA7A7F5B C7777244 00000001 33030D17
5FF80F3A 0A0999B0 00000009 05A1A80A
529CA9D3 035BB8AD 00000018 0203599B
2B07F276 E6DDC735 00000000 2B07F276
19368D14 BC758112 00000000 19368D14
F6D54F72 A8724039 00000001 4E630F39
FC7635A7 5D99ACD2 00000002 4142DC03
0B7D83AD 067BCFCF 00000001 0501B3DE
D50C0A59 464C597B 00000003 0226FDE8
C264A104 1AD7595F 00000007 06812F6B
42B39614 5E94F7A7 00000000 42B39614
CB4206FE 85AE1CDC 00000001 4593EA22
DEDFFFC6 6EFFAD04 00000002 00E0A5BE
5E7157A4 96C25D26 00000000 5E7157A4
24C1AD77 64F839F2 00000000 24C1AD77
2164D808 8026B254 00000000 2164D808
0A584B4B 4AAAB4D9 00000000 0A584B4B
31B84E78 4CBB8AF7 00000000 31B84E78
E7D50668 B74D3D5F 00000001 3087C909
8303804A 0495CEBD 0000001C 02A0E39E
ADF7CAEB E9F32B56 00000000 ADF7CAEB
C4783F1E A9F2761D 00000001 1A85C901
EC45C4BA F8447D23 00000000 EC45C4BA
68AA0217 B6BF1A6A 00000000 68AA0217
CF9533B5 C9725731 00000001 0622DC84
9CA7E1D5 17207D25 00000006 11E4F2F7
1F8DE9AC 375348D1 00000000 1F8DE9AC
AE715144 144A7F7A 00000008 0C1D5574
326F2D10 2B98E6F8 00000001 06D64618
82FC5F9F 167D2DAF 00000005 128A7B34
E90CBD0C 53A4D03D 00000002 41C31C92
E6BBAE8D 09222148 00000019 02666E85
70109175 E29D0DC0 00000000 70109175
04E5658D 18379D85 00000000 04E5658D
45AF629B 9CCC2813 00000000 45AF629B
39369ED5 BB6C27AB 00000000 39369ED5
D9B537CB 6E3E0FBB 00000001 6B772810
374AC393 8B0AF9EB 00000000 374AC393
5EFA8F1D 6CFCC44B 00000000 5EFA8F1D
AF6E28A1 CE4B32EE 00000000 AF6E28A1
A72615F5 A316D3BC 00000001 040F4239
43574F41 8902FA4B 00000000 43574F41
AC3DF596 668ADDF2 00000001 45B317A4
4469930F 9886ED1C 00000000 4469930F
C356C50C CB5435A8 00000000 C356C50C
F5551AD4 758D95B0 00000002 0A39EF74
3C60E6A5 14B26D29 00000002 12FC0C53
90FD33B1 71F94778 00000001 1F03EC39
908843BD C265209B 00000000 908843BD
B18360E9 62FF579A 00000001 4E84094F
724135DA 8422B398 00000000 724135DA
0407198E C1BF072D 00000000 0407198E
7E884A25 9CDBE219 00000000 7E884A25
74A71D5A 86F31431 00000000 74A71D5A
3C7ED2B0 DC654168 00000000 3C7ED2B0
0F66212D 63865D3F 00000000 0F66212D
B89F7876 55D78028 00000002 0CF07826
26E50FED 1352DBF2 00000002 003F5809
357758FC 15871218 00000002 0A6934CC
E514DE14 C45FEBC6 00000001 20B4F24E
F27557D6 768E38D9 00000002 0558E624
90FB06CF 78EEAD91 00000001 180C593E
958C3DB2 5751F2B8 00000001 3E3A4AFA
BEF4C8BF 4D25D1A2 00000002 24A9257B
46A06CD1 23DE82D9 00000001 22C1E9F8
D31D57F7 549049E6 00000002 29FCC42B
F7FB422B 6DB91456 00000002 1C89197F
A8AFBC53 8D07A751 00000001 1BA81502
C8138BF7 D9AEA6A2 00000000 C8138BF7
AA1AD38A BE0F5FA6 00000000 AA1AD38A
4208A4AC DBE2151A 00000000 4208A4AC
FE8B03B3 7FDD3F62 00000001 7EADC451
394B00A7 D901B905 00000000 394B00A7
8B99F3EB 6F2743DC 00000001 1C72B00F
08F91181 5875BEA9 00000000 08F91181
CB99FA59 6F9FE7E4 00000001 5BFA1275
78C7010A D204CD41 00000000 78C7010A
3A791F41 65FF3A22 00000000 3A791F41
8C322545 CA637918 00000000 8C322545
17C34B3B C197F9C1 00000000 17C34B3B
DF2A037C 40CC2DF3 00000003 1CC579A3
068814FC 8DD96F7F 00000000 068814FC
DBD0BFDD C1AB2246 00000001 1A259D97
C116E290 BE92B260 00000001 02843030
87E36A09 A9E570A7 00000000 87E36A09
5F156F14 0D2068A9 00000007 03329275
AD7C09EA DE81E907 00000000 AD7C09EA
01FAB4DB 7FF42A23 00000000 01FAB4DB
097E713B 599C7795 00000000 097E713B
33F5A806 ABDA8328 00000000 33F5A806
3C5D5CE0 055863BE 0000000B 019113B6
EC676A64 D0428DB5 00000001 1C24DCAF
183EDE1D A284EC7F 00000000 183EDE1D
1B2D1EA0 49659E92 00000000 1B2D1EA0
378859C7 2F343785 00000001 08542242
AE043FDE 6A703779 00000001 43940865
7F155697 DAA49038 00000000 7F155697
C5FCF5E4 5778B031 00000002 170B9582
C0DDA52B 35599C6A 00000003 20D0CFED
6C010DA6 50DD1C1F 00000001 1B23F187
7D268D94 EDB15A50 00000000 7D268D94
180705CD F67C19AE 00000000 180705CD
A9DCF432 CC2F5297 00000000 A9DCF432
747CCE9D DDE41EF1 00000000 747CCE9D
413588AE AB021F98 00000000 413588AE
ED6738AE C1CDC828 00000001 2B997086
7555D37B 91FD5F35 00000000 7555D37B
D8C7A079 525C4830 00000002 340F1019
24837567 BF4F1B87 00000000 24837567
782695BB 32FA81EB 00000002 123191E5
C80FE6FB 3B992A08 00000003 154468E3
1CCEF6B5 5DF84CA7 00000000 1CCEF6B5
989D4DF1 95B6FBCB 00000001 02E65226
893DA866 875AEE37 00000001 01E2BA2F
37F89403 809630DE 00000000 37F89403
EBCBE36D 778545D0 00000001 74469D9D
5676F7FE 631E171A 00000000 5676F7FE
9EDCA095 D313DE01 00000000 9EDCA095
E6FE9B8F 7AEEFBB0 00000001 6C0F9FDF
B19576CD 0F06D993 0000000B 0C4A1D7C
4558B5C6 7329DF4C 00000000 4558B5C6
42001E05 37635B86 00000001 0A9CC27F
